"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"CALKRU",4041.20501761796,952.374277915224,1643.46562582316,2358.96075780204,2213.50926573691,1261.13498782169,3356,1357,2018,2469,2282,925
"CALPAL",11297.1506714851,2133.44220240321,3415.18295111321,2834.07057904359,3240.81367039797,1107.37146799476,17356,3321,5302,4363,5008,1687
"CAPFRO",5229.28411360671,582.972472550808,1284.18916717909,1670.0005586413,1807.89185856832,1224.91938601751,3412,241,464,311,475,234
"CASACU",20672.4057351819,2422.71473811986,5239.80802995048,7068.78005412256,7334.87067857757,4912.15594045771,21999,1741,4081,5599,5962,4221
"CASARB",17842.8908391986,2792.47698969115,5833.20253978856,9262.41726608202,8813.25639184564,6020.7794021545,13856,2405,5180,8507,7846,5441
"CASDEC",27179.5140800178,4269.45693305135,8676.44681605697,11544.250382185,11595.7065158784,7326.24958282709,22008,3057,7124,7664,7624,4567
"CASELA",26834.5731739346,4116.48536449112,8334.50957189873,11717.9037341531,11803.6861400511,7687.20077555999,28108,4210,8445,13225,13524,9314
"CASEQU",6895.108232397,755.203862633323,1133.91677132086,943.773669345654,1089.95458294044,334.750720307115,10372,1139,1712,1429,1659,520
"CASGUI",19547.1237609342,2937.23751275521,6234.38707810803,7458.65159874549,7487.63016712246,4550.39265436726,23935,3691,7956,8917,8942,5251
"CASSYL",25606.3706267616,4117.83832668234,8395.64252173621,12298.0825501699,12137.8555311942,8020.01720451191,30173,5096,10110,14496,14324,9228
"CECSCH",21513.518709911,3751.7886496447,7607.39333859086,10496.3558132257,10305.3482579924,6553.55960834771,14031,2456,5715,8314,7615,5159
"CEIPEN",25636.9926519394,3887.11535722017,7682.31490340829,10260.2303665876,10488.2053893209,6601.09003210068,15030,1729,3022,3843,4267,2538
"CELTRI",11972.3008269379,2286.55352477869,4499.70366665861,5674.46333675878,5907.96433608234,3621.41081130365,3787,736,1281,1049,1237,501
"CESCIT",26065.6160635948,4267.47906458378,8490.95167839527,11713.4517672062,11733.4596161246,7465.98055154085,32128,5991,12187,17511,17339,11348
"CESMAC",19256.4110000208,3538.18670749292,6738.0005055964,9830.67406280339,9542.99595971033,6004.80925221741,11342,2661,4710,8006,7314,4653
"CHICOM",17679.7660608217,2945.23716003867,5861.22095434042,6761.63199815899,6803.23952783877,3858.0023678001,9115,1589,2931,2915,2798,1209
"CHIDOM",20788.5803611875,3763.64027565718,7288.95153489709,9833.30026011169,9809.50813174248,6045.8678560853,19240,4373,8391,11047,10772,6399
"CHIHOL",6859.26923179906,1772.08360215533,3023.16477126861,3408.8732511031,3550.02425467479,1777.94065251946,2266,664,1082,888,1012,348
"CHIVEN",24815.09669213,4102.23005081713,8229.78086182475,10854.9458270669,10818.9190355986,6716.6889847815,19262,3173,6515,7078,6903,3730
"CHRARG",21603.8844464177,3820.22475388064,7401.91283419821,9883.46992267761,9810.8210645318,5990.59631065116,19727,3793,7082,8275,8104,4311
"CHRICA",23690.9546529949,2861.12666001171,6175.69983772933,8698.95688585937,8866.28534737974,6005.15868736804,21480,1683,4016,6026,6285,4602
"CHROLI",16762.4329680069,2314.89972469879,4417.92638850043,5424.57650563219,5810.1425277928,3495.24280309401,11822,1317,2182,2985,3264,1947
"CHRPAU",24537.8003286379,3496.66618344514,7223.07305598212,10156.71737799,10238.9717007051,6742.30551725999,24543,2638,5983,9836,9797,7159
"CINELO",26503.989293078,3800.28554468788,7989.65560235456,11649.4706803467,11564.4990586396,7764.21351395175,33838,3943,9067,14707,14326,10383
"CINMON",18709.3814582527,3592.92654819787,7164.54436914623,9909.75420507789,9917.34034265578,6324.41379445791,27958,5458,10880,15045,15050,9592
"CITCAU",7158.9213075015,1474.67030140036,2951.20964748552,4424.8276038575,4122.18073117157,2647.51042977121,7088,1804,3349,4664,4217,2413
"CITSPI",27738.6517069936,4275.32816511393,8787.08635291457,11798.300411284,11860.5110002458,7585.18283513188,28778,4110,9284,11350,11472,7362
"CLIEGG",15094.5287778638,2519.22458520066,5483.10230441298,8479.37443819735,8268.79290480586,5749.5683196052,10493,1940,4351,7149,6644,4704
